,level_0,index,URLS,Title,OverAll,Time,Rank,
71,82,1497,https://www.tripadvisor.com//Attraction_Review-g293995-d21137746-Reviews-Last_Hour-Riyadh_Riyadh_Province.html,['Last Hour'],['5.0 of 5 bubbles. 4 reviews'],['4:00 PM - 12:00 AM'],['#9,30 Fun & Games in Riyadh']
72,83,1503,https://www.tripadvisor.com//Attraction_Review-g293995-d10682884-Reviews-Breakout_Escape_Rooms-Riyadh_Riyadh_Province.html,['Breakout Escape Rooms'],['5.0 of 5 bubbles. 6 reviews'],['5:00 PM - 11:00 PM'],['#10,30 Fun & Games in Riyadh']
73,84,1506,https://www.tripadvisor.com//Attraction_Review-g293995-d10887850-Reviews-EscapeX_ksa-Riyadh_Riyadh_Province.html,['EscapeX ksa'],['5.0 of 5 bubbles. 5 reviews'],3PM–12AM,['#11,30 Fun & Games in Riyadh']
74,85,1512,https://www.tripadvisor.com//Attraction_Review-g293995-d21389663-Reviews-Al_Ha_ir_Parks_And_Lakes-Riyadh_Riyadh_Province.html,['Al Ha-ir Parks And Lakes'],['4.5 of 5 bubbles. 3 reviews'],24 hours,['#49,88 things to do in Riyadh']
75,86,1518,https://www.tripadvisor.com//Attraction_Review-g293995-d23027114-Reviews-Museum_of_Illusions_Riyadh-Riyadh_Riyadh_Province.html,['Museum of Illusions Riyadh'],['4.0 of 5 bubbles. 5 reviews'],['10:00 AM - 12:00 AM'],['#50,88 things to do in Riyadh']
76,87,1524,https://www.tripadvisor.com//Attraction_Review-g293995-d23515055-Reviews-Honey_Moon_Events_Gallery-Riyadh_Riyadh_Province.html,['Honey Moon Events Gallery'],['5.0 of 5 bubbles. 2 reviews'],['2:00 PM - 11:00 PM'],['#20,84 Shopping in Riyadh']
77,88,1909,https://www.tripadvisor.com//Attraction_Review-g293995-d15668484-Reviews-Riyadh_Golf_Courses-Riyadh_Riyadh_Province.html,['Riyadh Golf Courses'],['4.0 of 5 bubbles. 5 reviews'],5:30AM–9PM,['#10,46 Outdoor Activities in Riyadh']
78,89,1915,https://www.tripadvisor.com//Attraction_Review-g293995-d6819141-Reviews-Spectrum_Wellness_For_Women-Riyadh_Riyadh_Province.html,['Spectrum Wellness For Women'],['4.5 of 5 bubbles. 5 reviews'],9AM–9PM,['#3,10 Spas & Wellness in Riyadh']
79,91,1927,https://www.tripadvisor.com//Attraction_Review-g293995-d21287585-Reviews-TCG_Master-Riyadh_Riyadh_Province.html,['TCG Master'],['5.0 of 5 bubbles. 2 reviews'],5PM–12AM,['#12,30 Fun & Games in Riyadh']
80,92,1933,https://www.tripadvisor.com//Attraction_Review-g293995-d10750270-Reviews-Cafe_Ceramique-Riyadh_Riyadh_Province.html,['Cafe Ceramique'],['4.5 of 5 bubbles. 4 reviews'],3PM–12AM,['#1,8 Classes & Workshops in Riyadh']
81,95,1951,https://www.tripadvisor.com//Attraction_Review-g293995-d24022622-Reviews-Kayal_Alshbab-Riyadh_Riyadh_Province.html,['Kayal Alshbab'],['5.0 of 5 bubbles. 1 review'],['12:00 AM - 11:59 PM'],['#3,5 Nightlife in Riyadh']
82,97,1960,https://www.tripadvisor.com//Attraction_Review-g293995-d23511970-Reviews-Nasmiles_Lounge-Riyadh_Riyadh_Province.html,['Nasmiles Lounge'],['5.0 of 5 bubbles. 1 review'],['12:00 AM - 11:59 PM'],['#55,88 things to do in Riyadh']
83,98,1966,https://www.tripadvisor.com//Attraction_Review-g293995-d21226361-Reviews-Shaza_Afiya_Spa_and_Wellness_Center-Riyadh_Riyadh_Province.html,['Shaza Afiya Spa and Wellness Center'],,['9:00 AM - 10:00 PM'],,['Sports Camps & ClinicsRead more']
84,100,1974,https://www.tripadvisor.com//Attraction_Review-g293995-d23414844-Reviews-Riyadh_Riyadh_Province.html,['Riyadh National Park'],['5.0 of 5 bubbles. 1 review'],4PM–12AM,['#57,88 things to do in Riyadh']
85,101,1980,https://www.tripadvisor.com//Attraction_Review-g293995-d7784676-Reviews-Talla_Mall-Riyadh_Riyadh_Province.html,['Talla Mall'],['3.5 of 5 bubbles. 9 reviews'],9:30AM–11PM,['#22,84 Shopping in Riyadh']
86,104,1995,https://www.tripadvisor.com//Attraction_Review-g293995-d20238145-Reviews-Thaghr_Plaza-Riyadh_Riyadh_Province.html,['Thaghr Plaza'],['5.0 of 5 bubbles. 1 review'],24 hours,['#58,88 things to do in Riyadh']
87,105,1998,https://www.tripadvisor.com//Attraction_Review-g293995-d4222873-Reviews-Black_Stone_Spa-Riyadh_Riyadh_Province.html,['Black Stone Spa'],['4.0 of 5 bubbles. 8 reviews'],4PM–12AM,['#4,10 Spas & Wellness in Riyadh']
88,110,2022,https://www.tripadvisor.com//Attraction_Review-g293995-d18941351-Reviews-Dirab_Golf_and_Country_Club-Riyadh_Riyadh_Province.html,['Dirab Golf and Country Club'],['5.0 of 5 bubbles. 1 review'],5:30AM–7PM,['#19,46 Outdoor Activities in Riyadh']
89,111,2028,https://www.tripadvisor.com//Attraction_Review-g293995-d17451402-Reviews-Bounce_Riyadh-Riyadh_Riyadh_Province.html,['Bounce Riyadh'],['5.0 of 5 bubbles. 1 review'],['10:00 AM - 10:00 PM'],['#14,30 Fun & Games in Riyadh']
90,112,2031,https://www.tripadvisor.com//Attraction_Review-g293995-d13438316-Reviews-Ameer_Sultan_Mosque-Riyadh_Riyadh_Province.html,['Ameer Sultan Mosque'],['5.0 of 5 bubbles. 1 review'],,['#3,8 Classes & Workshops in Riyadh']
91,113,2034,https://www.tripadvisor.com//Attraction_Review-g293995-d24072768-Reviews-Park_Avenue_Mall-Riyadh_Riyadh_Province.html,['Park Avenue Mall'],['4.0 of 5 bubbles. 1 review'],['12:00 AM - 11:59 PM'],['#63,88 things to do in Riyadh']
92,114,2040,https://www.tripadvisor.com//Attraction_Review-g293995-d20139598-Reviews-Hidden_Canyon-Riyadh_Riyadh_Province.html,['Hidden Canyon'],['4.0 of 5 bubbles. 1 review'],24 hours,['#64,88 things to do in Riyadh']
93,115,2046,https://www.tripadvisor.com//Attraction_Review-g293995-d20007473-Reviews-Murabba_Palace-Riyadh_Riyadh_Province.html,['Murabba Palace'],['4.0 of 5 bubbles. 1 review'],9AM–12PM,['#65,88 things to do in Riyadh']
94,116,2052,https://www.tripadvisor.com//Attraction_Review-g293995-d19953039-Reviews-Kidzzdom-Riyadh_Riyadh_Province.html,['Kidzzdom'],['4.0 of 5 bubbles. 1 review'],Permanently closed,['#15,30 Fun & Games in Riyadh']
95,117,2058,https://www.tripadvisor.com//Attraction_Review-g293995-d19924986-Reviews-VOX_Cinemas_Al_Qasr_Mall-Riyadh_Riyadh_Province.html,['VOX Cinemas - Al Qasr Mall'],['4.0 of 5 bubbles. 1 review'],24 hours,['#16,30 Fun & Games in Riyadh']
96,118,2404,https://www.tripadvisor.com//Attraction_Review-g293995-d17712348-Reviews-Zero_Latency-Riyadh_Riyadh_Province.html,['Zero Latency'],['4.0 of 5 bubbles. 1 review'],4PM–12AM,['#17,30 Fun & Games in Riyadh']
97,119,2410,https://www.tripadvisor.com//Attraction_Review-g293995-d20069324-Reviews-Snow_City-Riyadh_Riyadh_Province.html,['Snow City'],['3.5 of 5 bubbles. 4 reviews'],12PM–12AM,['#18,30 Fun & Games in Riyadh']
98,120,2416,https://www.tripadvisor.com//Attraction_Review-g293995-d21250729-Reviews-Plaza_Premium_Lounge-Riyadh_Riyadh_Province.html,['Plaza Premium Lounge'],['4.0 of 5 bubbles. 5 reviews'],24 hours,['#7,27 Transportation in Riyadh']
99,121,2419,https://www.tripadvisor.com//Attraction_Review-g293995-d4453697-Reviews-Alhoribi-Riyadh_Riyadh_Province.html,['Alhoribi'],['4.0 of 5 bubbles. 1 review'],10AM–10:30PM,['#27,84 Shopping in Riyadh']
100,122,2422,https://www.tripadvisor.com//Attraction_Review-g293995-d4788848-Reviews-Maison_BO_M-Riyadh_Riyadh_Province.html,['Maison BO-M'],['4.0 of 5 bubbles. 1 review'],Permanently closed,['#28,84 Shopping in Riyadh']
101,123,2428,https://www.tripadvisor.com//Attraction_Review-g293995-d14153099-Reviews-Vox_Cinemas-Riyadh_Riyadh_Province.html,['Vox Cinemas'],['3.0 of 5 bubbles. 28 reviews'],24 hours,['#19,30 Fun & Games in Riyadh']
102,124,2434,https://www.tripadvisor.com//Attraction_Review-g293995-d23602142-Reviews-Souk_Al_Zal-Riyadh_Riyadh_Province.html,['Souk Al Zal'],,3:30PM–10:30PM,,['Flea & Street MarketsRead more']
103,126,2438,https://www.tripadvisor.com//Attraction_Review-g293995-d23992868-Reviews-Saudi_Arabia_Airport_Transfers_Vince_Group-Riyadh_Riyadh_Province.html,['Saudi Arabia Airport Transfers - Vince Group'],,24 hours,,['Taxis & ShuttlesRead more']
104,127,2440,https://www.tripadvisor.com//Attraction_Review-g293995-d24063023-Reviews-Escape_Ksa-Riyadh_Riyadh_Province.html,['Escape Ksa'],,['3:00 PM - 12:00 AM'],,['Game & Entertainment CentersRead more']
